State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Date (Local),Year,Day In Year (Local),Units of Measure,Exceptional Data Type,Nonreg Observation Count,Observation Count,Observation Percent,Nonreg Arithmetic Mean,Arithmetic Mean,Nonreg First Maximum Value,First Maximum Value,First Maximum Hour,AQI,Daily Criteria Indicator,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,71,27,68109,1,34.030833,-117.61722,WGS84,Elapsed Sample Time,24 HOUR,,2019-01-02,2019,2,Minutes,None,,1,100,,1439,,1439,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68102,1,34.030833,-117.61722,WGS84,Sample Volume,24 HOUR,,2019-01-02,2019,2,Cubic meter,None,,1,100,,24.1,,24.1,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,64101,1,34.030833,-117.61722,WGS84,Barometric pressure,1 HOUR,,2019-01-02,2019,2,Millibars,None,,24,100,,992,,994,20,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,42603,1,34.030833,-117.61722,WGS84,Oxides of nitrogen (NOx),1 HOUR,,2019-01-02,2019,2,Parts per billion,None,,24,100,,60.104167,,169.4,9,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68108,1,34.030833,-117.61722,WGS84,Average Ambient Pressure,24 HOUR,,2019-01-02,2019,2,Millimeters (mercury),None,,1,100,,744,,744,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,42601,1,34.030833,-117.61722,WGS84,Nitric oxide (NO),1 HOUR,,2019-01-02,2019,2,Parts per billion,None,,24,100,,29.2875,,118.2,9,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,61103,1,34.030833,-117.61722,WGS84,Wind Speed - Resultant,1 HOUR,,2019-01-02,2019,2,Knots,None,,24,100,,1.816667,,3.9,1,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,61101,1,34.030833,-117.61722,WGS84,Wind Speed - Scalar,1 HOUR,,2019-01-02,2019,2,Knots,None,,24,100,,2.208333,,4.1,1,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68106,1,34.030833,-117.61722,WGS84,Sample Min Baro Pressure,24 HOUR,,2019-01-02,2019,2,Millimeters (mercury),None,,1,100,,742,,742,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,61104,1,34.030833,-117.61722,WGS84,Wind Direction - Resultant,1 HOUR,,2019-01-02,2019,2,Degrees Compass,None,,24,100,,208,,360,7,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,62101,1,34.030833,-117.61722,WGS84,Outdoor Temperature,1 HOUR,,2019-01-02,2019,2,Degrees Fahrenheit,None,,24,100,,51.7,,63.4,14,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68101,1,34.030833,-117.61722,WGS84,Sample Flow Rate- CV,24 HOUR,,2019-01-02,2019,2,Percent,None,,1,100,,0.1,,0.1,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68105,1,34.030833,-117.61722,WGS84,Average Ambient Temperature,24 HOUR,,2019-01-02,2019,2,Degrees Centigrade,None,,1,100,,10.6,,10.6,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68103,1,34.030833,-117.61722,WGS84,Ambient Min Temperature,24 HOUR,,2019-01-02,2019,2,Degrees Centigrade,None,,1,100,,3.5,,3.5,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68104,1,34.030833,-117.61722,WGS84,Ambient Max Temperature,24 HOUR,,2019-01-02,2019,2,Degrees Centigrade,None,,1,100,,18.4,,18.4,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,62201,1,34.030833,-117.61722,WGS84,Relative Humidity,1 HOUR,,2019-01-03,2019,3,Percent relative humidity,None,,24,100,,35.125,,56,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,68107,1,34.030833,-117.61722,WGS84,Sample Max Baro Pressure,24 HOUR,,2019-01-03,2019,3,Millimeters (mercury),None,,1,100,,746,,746,0,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,61101,1,34.030833,-117.61722,WGS84,Wind Speed - Scalar,1 HOUR,,2019-01-03,2019,3,Knots,None,,24,100,,1.541667,,2.3,12,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,61102,1,34.030833,-117.61722,WGS84,Wind Direction - Scalar,1 HOUR,,2019-01-03,2019,3,Degrees Compass,None,,24,100,,112.625,,345,6,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,27,88101,3,34.030833,-117.61722,WGS84,PM2.5 - Local Conditions,1 HOUR,,2019-01-03,2019,3,Micrograms/cubic meter (LC),None,,24,100,,15.991667,,29.3,23,.,Y,,California,San Bernardino,Ontario,Ontario-Route 60 Near Road,2330 S. Castle Harbour,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
